date,type,currency,referenceNumber,amount,note
2025/12/29,Sell,IRR,869,-29440000,BUY 29,440,000 IRR | SELL 80 OMR | via Rate: 368000 | Sajad Aryan
2025/12/29,Pay,IRR,8410,24100000,havala - Amount: 24,100,000 IRR transaction_id: 8410
2025/12/29,Pay,IRR,7909,5340000,havala Amount: 5,340,000 IRR transaction id: 7909
2025/12/29,Sell,IRR,871,-100000000,BUY 100,000,000 IRR | SELL 273.22 OMR | via Rate: 366000 | Sajad Aryan
2025/12/29,Sell,IRR,872,-732000000,BUY 732,000,000 IRR | SELL 2,000 OMR via Rate: 366000 | Sajad Aryan
2025/12/29,Sell,IRR,874,-400000000,BUY 400,000,000 IRR | SELL 1,104.97 OMR via Rate: 362000 | Sajad Aryan
2025/12/29,Pay,IRR,8334,20000000,havala - Amount: 20,000,000 IRR transaction id: 8334
2025/12/29,Pay,IRR,8613,14000000,havala Amount: 14,000,000 IRR transaction_id: 8613
2025/12/29,Pay,IRR,2660,14000000,havala Amount: 14,000,000 IRR transaction_id: 2660
2025/12/29,Pay,IRR,8784,175000000,havala - Amount: 175,000,000 IRR transaction_id: 8784
2025/12/29,Pay,IRR,0291,175000000,havala - Amount: 175,000,000 IRR transaction_id: 0291
2025/12/29,Pay,IRR,6603,116715000,havala Amount: 116,715,000 IRR transaction id: 6603
2025/12/29,Pay,IRR,3548,58285000,havala Amount: 58,285,000 IRR transaction_id: 3548
2025/12/29,Pay,IRR,3221,154300000,havala Amount: 154,300,000 IRR transaction_id: 3221
2025/12/29,Pay,IRR,8871,20000000,havala Amount: 20,000,000 IRR transaction_id: 8871
2025/12/29,Pay,IRR,4326,7000000,havala - Amount: 7,000,000 IRR transaction id: 4326
2025/12/29,Pay,IRR,3459,200000000,havala - Amount: 200,000,000 IRR transaction_id: 3459
2025/12/29,Pay,IRR,9973,3000000,havala Amount: 3,000,000 IRR transaction_id: 9973
2025/12/29,Pay,IRR,3770,50000000,havala Amount: 50,000,000 IRR transaction_id: 3770
2025/12/29,Pay,IRR,7385,5000000,havala Amount: 5,000,000 IRR transaction_id: 7385
2025/12/29,Pay,IRR,4703,35900000,havala Amount: 35,900,000 IRR transaction id: 4703
2025/12/29,Pay,IRR,5312,94670000,havala - Amount: 94,670,000 IRR transaction_id: 5312
2025/12/29,Pay,IRR,8936,53250000,havala Amount: 53,250,000 IRR transaction_id: 8936
2025/12/29,Sell,IRR,879,-169450000,BUY 169,450,000 IRR | SELL 473.32 OMR via Rate: 358000 | Sajad Aryan
2025/12/30,Receive,OMR,6285,-500,havala Amount: 500 OMR transaction id: 6285
2025/12/30,Receive,OMR,3880,-500,havala - Amount: 500 OMR transaction_id: 3880
2025/12/30,Receive,OMR,0485,-246.15,havala - Amount: 246.15 OMR transaction_id: 0485
2025/12/30,Receive,OMR,5018,-390,havala - Amount: 390 OMR transaction id: 5018
2025/12/30,Pay,IRR,5546,105330000,havala - Amount: 105,330,000 IRR transaction_id: 5546
2025/12/30,Pay,IRR,5558,77300000,havala - Amount: 77,300,000 IRR transaction id: 5558
2025/12/30,Pay,IRR,2800,22700000,havala Amount: 22,700,000 IRR transaction_id: 2800
2025/12/30,Sell,IRR,887,-300000000,BUY 300,000,000 IRR | SELL 842.69 OMR | via Rate: 356000 | Sajad Aryan
2025/12/30,Sell,IRR,888,-750000000,BUY 750,000,000 IRR | SELL 2,106.74 OMR via Rate: 356000 | Sajad Aryan
2025/12/30,Pay,IRR,8952,102000000,havala - Amount: 102,000,000 IRR transaction_id: 8952
2025/12/30,Pay,IRR,0199,34500000,havala Amount: 34,500,000 IRR transaction id: 0199
2025/12/30,Pay,IRR,2986,20000000,havala - Amount: 20,000,000 IRR transaction id: 2986
2025/12/30,Pay,IRR,6169,200000000,havala Amount: 200,000,000 IRR transaction id: 6169
2025/12/30,Pay,IRR,1326,200000000,havala - Amount: 20,000,000 IRR transaction_id: 1326
2025/12/30,Pay,IRR,8719,100000000,havala - Amount: 100,000,000 IRR transaction id: 8719
2025/12/30,Pay,IRR,7985,200000000,havala Amount: 200,000,000 IRR transaction_id: 7985
2025/12/30,Pay,IRR,5284,100000000,havala Amount: 100.000.000 IRR transaction id: 5284
2025/12/30,Pay,IRR,1737,175000000,havala - Amount: 17,500,000 IRR transaction_id: 1737
2025/12/30,Pay,IRR,2710,50000000,havala Amount: 50,000,000 IRR transaction_id: 2710
2025/12/30,Pay,IRR,9310,20000000,Amount: 20,000,000 IRR transaction id: 9310 havala
2025/12/30,Pay,IRR,5102,6000000,havala - Amount: 6,000,000 IRR transaction_id: 5102
2025/12/30,Pay,IRR,8195,100000000,havala Amount: 100,000,000 IRR transaction_id: 8195
2025/12/30,Pay,IRR,4973,100000000,havala - Amount: 100,000,000 IRR transaction_id: 4973
2025/12/30,Receive,IRR,3541,-35600000,havala Amount: 35,600,000 IRR transaction id: 3541
2025/12/30,Receive,IRR,8046,-13000000,Amount: 13,000,000 IRR transaction_id: 8046 havala
2025/12/30,Receive,IRR,6152,-5886000,havala Amount: 5,886,000 IRR transaction_id: 6152
2025/12/30,Receive,IRR,5129,-40000000,havala Amount: 40,000,000 IRR transaction_id: 5129
2025/12/31,Receive,OMR,7220,-190,havala Amount: 190 OMR transaction id: 7220
2025/12/31,Receive,OMR,4580,-56.8,havala Amount: 56.8 OMR transaction id: 4580
2025/12/31,Sell,OMR,903,-1061.88,BUY 1,061.88 OMR | SELL 377,500,000 IRR | via Rate: 355500 | Sajad Aryan
2025/12/31,Pay,OMR,8961,700,havala - Amount: 700 OMR transaction_id: 8961
